"gene","FC_RARA","FC_RARG","FC_Combo","category"
"Zfp445",-0.537759689411303,0,0,"RARA Unique (n=136)"
"Znrf1",-0.505228757391262,0,0,"RARA Unique (n=136)"
"Diaph3",-1.09696871685073,0,0,"RARA Unique (n=136)"
"Abcg1",-1.14140875033961,0,0,"RARA Unique (n=136)"
"Mpp2",-0.701366301458104,0,0,"RARA Unique (n=136)"
"Tmem63c",1.32996263851008,0,0,"RARA Unique (n=136)"
"Ppp2r3a",1.04242133751675,0,0,"RARA Unique (n=136)"
"Gars",-0.969728966945879,0,0,"RARA Unique (n=136)"
"4932438A13Rik",-0.505021512416735,0,0,"RARA Unique (n=136)"
"9330175M20Rik",-1.15400322952972,0,0,"RARA Unique (n=136)"
"Atm",-1.01075705675973,0,0,"RARA Unique (n=136)"
"Gna11",-1.33438754972694,0,0,"RARA Unique (n=136)"
"Cd46",-0.798590381476498,0,0,"RARA Unique (n=136)"
"Rhbdl3",1.76258836360967,0,0,"RARA Unique (n=136)"
"Dhdds",0.998420746240954,0,0,"RARA Unique (n=136)"
"Gad2",-1.04568378007878,0,0,"RARA Unique (n=136)"
"Sgpl1",-1.41723993199135,0,0,"RARA Unique (n=136)"
"Zfp462",0.592932472126513,0,0,"RARA Unique (n=136)"
"Ccdc82",-1.15319566256836,0,0,"RARA Unique (n=136)"
"Jade2",3.15779594793885,0,0,"RARA Unique (n=136)"
"Apaf1",-1.39809980217544,0,0,"RARA Unique (n=136)"
"Il1rapl2",0,0,-0.584513900647138,"Combo Unique (n=173)"
"Zer1",1.30640956514578,0,0,"RARA Unique (n=136)"
"Vmn2r87",1.70902422294615,0,0,"RARA Unique (n=136)"
"Gstcd",-1.21542309502613,0,0,"RARA Unique (n=136)"
"Dnm1l",0.810294971151706,0,0,"RARA Unique (n=136)"
"Nfe2l1",-0.871799808116608,0,0,"RARA Unique (n=136)"
"Tmem44",1.56914484295741,0,0,"RARA Unique (n=136)"
"Sbk1",-1.08392160191404,0,0,"RARA Unique (n=136)"
"Stam",1.67492463763993,0,0,"RARA Unique (n=136)"
"Atf2",-0.637157221220078,0,0,"RARA Unique (n=136)"
"Hnrnpd",-0.652222558302542,0,0,"RARA Unique (n=136)"
"Rexo1",-0.768945639333408,0,0,"RARA Unique (n=136)"
"Dcx",-0.776052097801616,0,0,"RARA Unique (n=136)"
"Prpf4",-1.37122053019613,0,0,"RARA Unique (n=136)"
"Hcfc1",-1.11452052357482,0,0,"RARA Unique (n=136)"
