"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.585181341129675,0.233084201946434,0.068,0.089,1,"Mast1"
0.585419611505139,0.558593012094164,0.084,0.067,1,"Slc20a2"
0.585437369763591,-0.138609416639451,0.152,0.178,1,"Garem1"
0.585515164921561,0.0433188726984464,0.324,0.278,1,"Fars2"
0.585604182396823,0.262472338989998,0.168,0.144,1,"Ubp1"
0.585843894111511,-0.332846360327382,0.264,0.278,1,"Mark2"
0.586181914260631,0.505600608140296,0.072,0.056,1,"E130102H24Rik"
0.58624718048729,-0.250607974589783,0.2,0.222,1,"Asxl1"
0.586338580409632,0.198945521007052,0.16,0.133,1,"Epha3"
0.587025706939422,-0.364214421485291,0.148,0.167,1,"Tshz2"
0.587666556409956,0.398173898720541,0.096,0.078,1,"Naa16"
0.587852320152462,-0.581446142181159,0.052,0.067,1,"Glra2"
0.587852500000981,0.397117439259872,0.06,0.044,1,"Ptpn13"
0.587852500000981,-0.58306517925066,0.052,0.067,1,"Lias"
0.58815988100523,0.456072180410818,0.072,0.056,1,"2210016L21Rik"
0.588652055891609,0.0861097393372092,0.516,0.478,1,"Caln1"
0.588917845079163,0.149381114270361,0.216,0.189,1,"Map3k3"
0.58893895619985,-0.192431448133345,0.184,0.211,1,"Ncapd3"
0.58909308464466,0.554305520487678,0.084,0.067,1,"Shisa6"
0.589334563160878,-0.28236761302025,0.112,0.133,1,"Homer2"
0.589447375060311,0.286092031456863,0.224,0.2,1,"Nap1l1"
0.589643068806499,-0.018392659359145,0.836,0.878,1,"Fat3"
0.589677665991427,-0.398433783870491,0.092,0.111,1,"Gm4924"
0.589825432836303,0.0184659933774407,0.088,0.067,1,"Fam76a"
0.589825432836303,0.0306467727788613,0.088,0.067,1,"Lrp12"
0.589877623811057,-0.0283080982686812,1,1,1,"Opcml"
0.590018713947472,0.256957143440831,0.06,0.044,1,"Mrpl58"
0.590033078877143,0.273239965545339,0.144,0.122,1,"Dennd4c"
0.590398334432271,-0.446360193831658,0.08,0.1,1,"Nrip3"
0.590489628680444,-0.65712991529464,0.096,0.111,1,"Mxi1"
0.590933801136891,0.343783757479557,0.084,0.067,1,"Hdhd5"
0.590933801136891,0.345934956129893,0.084,0.067,1,"Bnip3l"
0.591100804135463,0.00066074232158405,0.224,0.189,1,"Cstf3"
0.591171446338709,0.17348564493633,0.136,0.111,1,"Supt5"
0.591404195786754,0.30716717552898,0.12,0.1,1,"Eif2s2"
0.591437653060612,-0.0295250332819945,0.256,0.211,1,"Unc13b"
0.591774067902609,-0.23504606253203,0.1,0.122,1,"Fbxl12"
0.591821501240181,-0.252974315160344,0.188,0.211,1,"Akap11"
0.591931054146988,-0.396757980527392,0.072,0.089,1,"Dnajb11"
0.592037584775752,-0.281042179331357,0.216,0.244,1,"Arhgef7"
0.592125040757866,0.426531164648166,0.072,0.056,1,"Tm9sf2"
0.592518627909547,0.15362117321385,0.268,0.233,1,"Syt7"
0.59260025263212,0.0449924842855811,0.36,0.3,1,"Gda"
0.592851057850447,-0.0280079016934428,0.188,0.156,1,"Ube2d2a"
