"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","19","456","693","26481","5.44e-2","1.00e+0","1.59","1.00e+0","9.94e-1","3.26e-2","GO:0043066~negative regulation of apoptotic process","RARG,CDKN1B,PRKDC,TCF7,TWIST2,GATA6,IHH,MITF,FMN2,YBX3,SMAD5,PAX2,POU3F3,PTMS,COMP,KIFAP3,NTSR1,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","mRNA catabolic process","4","456","50","26481","5.46e-2","1.00e+0","4.65","1.00e+0","9.94e-1","1.07e-2","GO:0006402~mRNA catabolic process","SKI,NOCT,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","roof of mouth development","5","456","83","26481","5.48e-2","1.00e+0","3.50","1.00e+0","9.94e-1","1.44e-2","GO:0060021~roof of mouth development","SKI,GABRB3,ZFP950,SOS1,EPHB3"
"GOTERM_BP_DIRECT","cellular response to nutrient levels","5","456","83","26481","5.48e-2","1.00e+0","3.50","1.00e+0","9.94e-1","1.44e-2","GO:0031669~cellular response to nutrient levels","CREBBP,USP7,TBK1,PRKACA,YWHAG"
"GOTERM_BP_DIRECT","positive regulation of synapse assembly","5","456","84","26481","5.68e-2","1.00e+0","3.46","1.00e+0","9.94e-1","1.51e-2","GO:0051965~positive regulation of synapse assembly","FLRT2,CLSTN1,SYNDIG1,ADNP,EPHB3"
"GOTERM_BP_DIRECT","cardiac muscle contraction","4","456","51","26481","5.73e-2","1.00e+0","4.55","1.00e+0","9.94e-1","1.15e-2","GO:0060048~cardiac muscle contraction","MYBPC3,SCN5A,ATP1B1,SMAD5"
"GOTERM_BP_DIRECT","chromatin organization","11","456","327","26481","5.73e-2","1.00e+0","1.95","1.00e+0","9.94e-1","2.72e-2","GO:0006325~chromatin organization","L3MBTL3,H4C17,BRD1,ZZZ3,H2BL1,NCOA6,MIDEAS,CHD3,ARID1A,BMI1,HMGN3"
"GOTERM_BP_DIRECT","protein refolding","3","456","23","26481","5.88e-2","1.00e+0","7.57","1.00e+0","9.94e-1","6.95e-3","GO:0042026~protein refolding","HSPA2,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","cAMP/PKA signal transduction","3","456","23","26481","5.88e-2","1.00e+0","7.57","1.00e+0","9.94e-1","6.95e-3","GO:0141156~cAMP/PKA signal transduction","CREBBP,AKAP6,PRKACA"
"GOTERM_BP_DIRECT","negative regulation of chondrocyte differentiation","3","456","23","26481","5.88e-2","1.00e+0","7.57","1.00e+0","9.94e-1","6.95e-3","GO:0032331~negative regulation of chondrocyte differentiation","RARG,EFEMP1,CHADL"
"GOTERM_BP_DIRECT","synaptic transmission, glutamatergic","4","456","53","26481","6.29e-2","1.00e+0","4.38","1.00e+0","9.94e-1","1.31e-2","GO:0035249~synaptic transmission, glutamatergic","EXT1,SHC3,CACNA1A,GRIA3"
"GOTERM_BP_DIRECT","regulation of cell differentiation","4","456","53","26481","6.29e-2","1.00e+0","4.38","1.00e+0","9.94e-1","1.31e-2","GO:0045595~regulation of cell differentiation","CEBPB,DICER1,RUNX3,TCFL5"
"GOTERM_BP_DIRECT","cardiac muscle hypertrophy in response to stress","3","456","24","26481","6.34e-2","1.00e+0","7.26","1.00e+0","9.94e-1","7.85e-3","GO:0014898~cardiac muscle hypertrophy in response to stress","GATA6,NFATC3,ATP2A2"
"GOTERM_BP_DIRECT","heterophilic cell-cell adhesion","4","456","54","26481","6.57e-2","1.00e+0","4.30","1.00e+0","9.94e-1","1.39e-2","GO:0007157~heterophilic cell-cell adhesion","CADM1,NTM,SCARF2,NECTIN1"
"GOTERM_BP_DIRECT","negative regulation of cell growth","6","456","126","26481","6.66e-2","1.00e+0","2.77","1.00e+0","9.94e-1","2.21e-2","GO:0030308~negative regulation of cell growth","CDKN1B,CCDC85B,FOXK1,ACVR1B,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","cellular response to Thyroglobulin triiodothyronine","2","456","4","26481","6.70e-2","1.00e+0","29.04","1.00e+0","9.94e-1","1.73e-3","GO:1904017~cellular response to Thyroglobulin triiodothyronine","NCOA1,INHBB"
"GOTERM_BP_DIRECT","positive regulation of ubiquitin-protein transferase activity","2","456","4","26481","6.70e-2","1.00e+0","29.04","1.00e+0","9.94e-1","1.73e-3","GO:0051443~positive regulation of ubiquitin-protein transferase activity","ARRDC3,BMI1"
"GOTERM_BP_DIRECT","regulation of cell cycle","9","456","250","26481","6.80e-2","1.00e+0","2.09","1.00e+0","9.94e-1","2.98e-2","GO:0051726~regulation of cell cycle","YY1,CDKN1B,ZZZ3,INO80D,TRNP1,DICER1,INSM1,PRKACA,OVOL2"
"GOTERM_BP_DIRECT","dendritic spine development","3","456","25","26481","6.82e-2","1.00e+0","6.97","1.00e+0","9.94e-1","8.80e-3","GO:0060996~dendritic spine development","SPIRE1,ARID1B,EPHB3"
"GOTERM_BP_DIRECT","retinoic acid receptor signaling pathway","3","456","25","26481","6.82e-2","1.00e+0","6.97","1.00e+0","9.94e-1","8.80e-3","GO:0048384~retinoic acid receptor signaling pathway","RARG,RXRA,ESRRG"
"GOTERM_BP_DIRECT","positive regulation of sodium ion transport","3","456","25","26481","6.82e-2","1.00e+0","6.97","1.00e+0","9.94e-1","8.80e-3","GO:0010765~positive regulation of sodium ion transport","FGF14,GNAS,SCN5A"
"GOTERM_BP_DIRECT","potassium ion transport","6","456","127","26481","6.84e-2","1.00e+0","2.74","1.00e+0","9.94e-1","2.29e-2","GO:0006813~potassium ion transport","SLC12A2,NSF,KCNG2,CDKN1B,KCNMB4,ATP1B1"
"GOTERM_BP_DIRECT","cell maturation","4","456","55","26481","6.87e-2","1.00e+0","4.22","1.00e+0","9.94e-1","1.48e-2","GO:0048469~cell maturation","RXRA,BFSP1,IHH,RUNX3"
"GOTERM_BP_DIRECT","response to retinoic acid","4","456","56","26481","7.17e-2","1.00e+0","4.15","1.00e+0","9.94e-1","1.58e-2","GO:0032526~response to retinoic acid","NCOA1,RARG,RXRA,GATA6"
"GOTERM_BP_DIRECT","angiogenesis","10","456","297","26481","7.21e-2","1.00e+0","1.96","1.00e+0","9.94e-1","3.40e-2","GO:0001525~angiogenesis","VAV3,ANGPTL6,DICER1,PLCD3,SHB,HS6ST1,SMAD5,ARHGAP24,OVOL2,EPHB3"
"GOTERM_BP_DIRECT","positive regulation of interleukin-4 production","3","456","26","26481","7.30e-2","1.00e+0","6.70","1.00e+0","9.94e-1","9.83e-3","GO:0032753~positive regulation of interleukin-4 production","CEBPB,PRKCQ,CD3E"
"GOTERM_BP_DIRECT","endocrine pancreas development","3","456","26","26481","7.30e-2","1.00e+0","6.70","1.00e+0","9.94e-1","9.83e-3","GO:0031018~endocrine pancreas development","NKX6-2,ZFP800,INSM1"
"GOTERM_BP_DIRECT","action potential","4","456","58","26481","7.79e-2","1.00e+0","4.00","1.00e+0","9.94e-1","1.77e-2","GO:0001508~action potential","KCNG2,GNA11,KCNMB4,AKAP6"
"GOTERM_BP_DIRECT","protein K63-linked deubiquitination","3","456","27","26481","7.80e-2","1.00e+0","6.45","1.00e+0","9.94e-1","1.09e-2","GO:0070536~protein K63-linked deubiquitination","OTUD4,USP7,OTUD1"
"GOTERM_BP_DIRECT","antiviral innate immune response","5","456","95","26481","8.13e-2","1.00e+0","3.06","1.00e+0","9.94e-1","2.43e-2","GO:0140374~antiviral innate immune response","OTUD4,USP7,TBK1,TOMM70A,NT5C2"
"GOTERM_BP_DIRECT","ligand-gated ion channel signaling pathway","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:1990806~ligand-gated ion channel signaling pathway","GNA11,CHRNA7"
"GOTERM_BP_DIRECT","embryonic skeletal joint development","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0072498~embryonic skeletal joint development","EXT1,IHH"
"GOTERM_BP_DIRECT","embryonic hindgut morphogenesis","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0048619~embryonic hindgut morphogenesis","TCF7,HOXA13"
"GOTERM_BP_DIRECT","cellular heat acclimation","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0070370~cellular heat acclimation","HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","anterior/posterior axon guidance","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0033564~anterior/posterior axon guidance","UNC5A,UNC5C"
"GOTERM_BP_DIRECT","T cell receptor V(D)J recombination","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0033153~T cell receptor V(D)J recombination","PRKDC,TCF7"
"GOTERM_BP_DIRECT","positive regulation of follicle-stimulating hormone secretion","2","456","5","26481","8.30e-2","1.00e+0","23.23","1.00e+0","9.94e-1","2.86e-3","GO:0046881~positive regulation of follicle-stimulating hormone secretion","INHBB,ACVR2A"
"GOTERM_BP_DIRECT","regulation of axonogenesis","3","456","28","26481","8.31e-2","1.00e+0","6.22","1.00e+0","9.94e-1","1.21e-2","GO:0050770~regulation of axonogenesis","CACNA1A,LRRC4C,EPHB3"
"GOTERM_BP_DIRECT","cGAS/STING signaling pathway","3","456","28","26481","8.31e-2","1.00e+0","6.22","1.00e+0","9.94e-1","1.21e-2","GO:0140896~cGAS/STING signaling pathway","ZDHHC18,TBK1,PRKDC"
"GOTERM_BP_DIRECT","SMAD protein signal transduction","3","456","28","26481","8.31e-2","1.00e+0","6.22","1.00e+0","9.94e-1","1.21e-2","GO:0060395~SMAD protein signal transduction","MAGI2,SMAD5,ACVR2A"
"GOTERM_BP_DIRECT","hemopoiesis","5","456","96","26481","8.37e-2","1.00e+0","3.02","1.00e+0","9.94e-1","2.53e-2","GO:0030097~hemopoiesis","ZFP950,TET2,BMI1,SHB,RUNX3"
"GOTERM_BP_DIRECT","thymus development","4","456","60","26481","8.43e-2","1.00e+0","3.87","1.00e+0","9.94e-1","1.98e-2","GO:0048538~thymus development","PRKDC,LMO4,NFATC3,EPHB3"
"GOTERM_BP_DIRECT","skeletal system development","6","456","136","26481","8.59e-2","1.00e+0","2.56","1.00e+0","9.94e-1","3.06e-2","GO:0001501~skeletal system development","COMP,GNA11,IHH,GNAS,BMI1,SMAD5"
"GOTERM_BP_DIRECT","negative regulation of protein ubiquitination","4","456","61","26481","8.75e-2","1.00e+0","3.81","1.00e+0","9.94e-1","2.10e-2","GO:0031397~negative regulation of protein ubiquitination","NXN,HSPA1B,CEP78,HSPA1A"
"GOTERM_BP_DIRECT","positive regulation of insulin secretion involved in cellular response to glucose stimulus","4","456","61","26481","8.75e-2","1.00e+0","3.81","1.00e+0","9.94e-1","2.10e-2","GO:0035774~positive regulation of insulin secretion involved in cellular response to glucose stimulus","GPR27,NCOA6,CRH,GNAS"
"GOTERM_BP_DIRECT","cell development","4","456","61","26481","8.75e-2","1.00e+0","3.81","1.00e+0","9.94e-1","2.10e-2","GO:0048468~cell development","YY1,IRX4,RUNX3,MALT1"
"GOTERM_BP_DIRECT","neuromuscular process","4","456","61","26481","8.75e-2","1.00e+0","3.81","1.00e+0","9.94e-1","2.10e-2","GO:0050905~neuromuscular process","COMP,FGF14,CACNA1A,LONRF2"
"GOTERM_BP_DIRECT","protein K48-linked deubiquitination","3","456","29","26481","8.83e-2","1.00e+0","6.01","1.00e+0","9.94e-1","1.33e-2","GO:0071108~protein K48-linked deubiquitination","OTUD4,CREBBP,USP7"
"GOTERM_BP_DIRECT","negative regulation of miRNA transcription","3","456","29","26481","8.83e-2","1.00e+0","6.01","1.00e+0","9.94e-1","1.33e-2","GO:1902894~negative regulation of miRNA transcription","YY1,GATA6,NFATC3"
"GOTERM_BP_DIRECT","placenta development","4","456","62","26481","9.09e-2","1.00e+0","3.75","1.00e+0","9.94e-1","2.21e-2","GO:0001890~placenta development","CDKN1B,RXRA,GSE1,E2F7"
"GOTERM_BP_DIRECT","spermatogenesis","16","456","596","26481","9.18e-2","1.00e+0","1.56","1.00e+0","9.94e-1","5.64e-2","GO:0007283~spermatogenesis","SPAG17,CADM1,BTBD35F5,INHBB,PAX5,HSPA2,YBX3,ACVR2A,YY1,ALKBH5,XRN2,DMXL2,TBPL1,SRY,CEP78,TCFL5"
"GOTERM_BP_DIRECT","mesoderm development","3","456","30","26481","9.35e-2","1.00e+0","5.81","1.00e+0","9.94e-1","1.46e-2","GO:0007498~mesoderm development","EXT1,ACVR1B,ACVR2A"
"GOTERM_BP_DIRECT","regulation of small GTPase mediated signal transduction","3","456","30","26481","9.35e-2","1.00e+0","5.81","1.00e+0","9.94e-1","1.46e-2","GO:0051056~regulation of small GTPase mediated signal transduction","RAP1GAP2,CHN2,ARHGAP24"
"GOTERM_BP_DIRECT","DNA-templated transcription","5","456","100","26481","9.39e-2","1.00e+0","2.90","1.00e+0","9.94e-1","2.95e-2","GO:0006351~DNA-templated transcription","PHF3,FOXD3,CEBPB,MITF,MLF1"
"GOTERM_BP_DIRECT","regulation of postsynapse assembly","4","456","63","26481","9.43e-2","1.00e+0","3.69","1.00e+0","9.94e-1","2.33e-2","GO:0150052~regulation of postsynapse assembly","PSD,FLRT2,SYNDIG1,MARK1"
"GOTERM_BP_DIRECT","bone development","5","456","101","26481","9.65e-2","1.00e+0","2.87","1.00e+0","9.94e-1","3.06e-2","GO:0060348~bone development","RARG,CADM1,GNAS,TMEM38B,SMAD5"
"GOTERM_BP_DIRECT","cartilage development","5","456","101","26481","9.65e-2","1.00e+0","2.87","1.00e+0","9.94e-1","3.06e-2","GO:0051216~cartilage development","COMP,IHH,GNAS,DICER1,SMAD5"
"GOTERM_BP_DIRECT","sensory perception of temperature stimulus","2","456","6","26481","9.88e-2","1.00e+0","19.36","1.00e+0","9.94e-1","4.24e-3","GO:0050951~sensory perception of temperature stimulus","GABRB3,BTBD9"
"GOTERM_BP_DIRECT","histamine secretion","2","456","6","26481","9.88e-2","1.00e+0","19.36","1.00e+0","9.94e-1","4.24e-3","GO:0001821~histamine secretion","ADCYAP1,CSF2"
"GOTERM_BP_DIRECT","negative regulation of vascular associated smooth muscle cell differentiation","2","456","6","26481","9.88e-2","1.00e+0","19.36","1.00e+0","9.94e-1","4.24e-3","GO:1905064~negative regulation of vascular associated smooth muscle cell differentiation","NFATC3,NFATC1"
"GOTERM_BP_DIRECT","negative regulation of lens fiber cell differentiation","2","456","6","26481","9.88e-2","1.00e+0","19.36","1.00e+0","9.94e-1","4.24e-3","GO:1902747~negative regulation of lens fiber cell differentiation","SPRED2,SPRY1"
"GOTERM_BP_DIRECT","pancreatic A cell differentiation","2","456","6","26481","9.88e-2","1.00e+0","19.36","1.00e+0","9.94e-1","4.24e-3","GO:0003310~pancreatic A cell differentiation","GATA6,INSM1"
"GOTERM_BP_DIRECT","camera-type eye morphogenesis","3","456","31","26481","9.89e-2","1.00e+0","5.62","1.00e+0","9.94e-1","1.60e-2","GO:0048593~camera-type eye morphogenesis","SKI,YY1,NECTIN1"
"GOTERM_BP_DIRECT","hematopoietic stem cell homeostasis","3","456","31","26481","9.89e-2","1.00e+0","5.62","1.00e+0","9.94e-1","1.60e-2","GO:0061484~hematopoietic stem cell homeostasis","EXT1,TET2,BMI1"
"GOTERM_BP_DIRECT","positive regulation of cold-induced thermogenesis","5","456","102","26481","9.91e-2","1.00e+0","2.85","1.00e+0","9.94e-1","3.17e-2","GO:0120162~positive regulation of cold-induced thermogenesis","ADCYAP1,CEBPB,GNAS,ESRRG,ZBTB7B"

