"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","positive regulation of erythrocyte differentiation","6","456","31","26481","1.72e-4","3.85e-2","11.24","3.45e-1","3.83e-2","1.29e-5","GO:0045648~positive regulation of erythrocyte differentiation","BRD1,PRKDC,ACVR1B,HSPA1B,ACVR2A,HSPA1A"
"GOTERM_BP_DIRECT","regulation of gene expression","22","456","508","26481","2.17e-4","4.45e-2","2.51","4.14e-1","4.42e-2","8.22e-5","GO:0010468~regulation of gene expression","RARG,CSF2,NCOA6,GATA6,NR2F1,IHH,TET2,MITF,YBX1,DICER1,ACVR1B,BMI1,ATP1B1,YBX3,COMP,TBK1,C1D,CES1G,ADNP,INSM1,ZBTB7B,FGFR4"
"GOTERM_BP_DIRECT","intracellular signal transduction","21","456","477","26481","2.60e-4","4.75e-2","2.56","4.72e-1","4.72e-2","9.45e-5","GO:0035556~intracellular signal transduction","MAP3K2,VAV3,PHLPP1,SHC3,DGKD,LRRC10B,NFATC1,NRG2,CNKSR2,PPP1R2,ABR,PLCB4,PRKD3,GNA12,PRKG2,PRKCQ,ASB2,ARHGEF7,PLCD3,MAP4K3,MARK1"
"GOTERM_BP_DIRECT","peptidyl-threonine phosphorylation","6","456","34","26481","2.70e-4","4.75e-2","10.25","4.86e-1","4.72e-2","2.25e-5","GO:0018107~peptidyl-threonine phosphorylation","TBK1,SBK1,PRKDC,TTK,ACVR1B,PRKACA"
"GOTERM_BP_DIRECT","neuron projection development","12","456","190","26481","4.74e-4","7.78e-2","3.67","6.89e-1","7.73e-2","1.22e-4","GO:0031175~neuron projection development","PSD,EXT1,ADCYAP1,UNC5A,CDC27,BICDL1,WASF1,NPTXR,RUNX3,LONRF2,CAMSAP1,PTPRG"
"GOTERM_BP_DIRECT","animal organ development","9","456","109","26481","5.98e-4","8.92e-2","4.79","7.70e-1","8.86e-2","1.15e-4","GO:0048513~animal organ development","IRX4,GATA6,HIVEP3,SPRY1,NRG2,INSM1,SCN5A,SOBP,EPHB3"
"GOTERM_BP_DIRECT","signal transduction","34","456","1043","26481","6.16e-4","8.92e-2","1.89","7.80e-1","8.86e-2","3.12e-4","GO:0007165~signal transduction","GM266,DGKD,WNT2B,CDKN1B,CHRNA7,ACVR1B,SHB,PTPRG,TRPM1,ABR,SCUBE1,CNTNAP5A,GNA11,CHN2,CNTNAP5C,GNA12,PRKG2,PDE6B,YWHAG,H60C,UNC5A,MAGI2,PPP2R5A,UNC5C,ARHGAP24,PLCB4,GKAP1,MOB2,TRIP10,GNAS,RADIL,IL17D,PLCD3,NSMAF"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","26","456","715","26481","6.96e-4","9.51e-2","2.11","8.20e-1","9.45e-2","3.16e-4","GO:0045892~negative regulation of DNA-templated transcription","MESP1,CEBPB,L3MBTL3,CDKN1B,CSF2,CTBP2,MIDEAS,GATA6,TWIST2,FOXK1,CHD3,PURB,MTA1,ZFP281,CCDC85B,BAHD1,TRIM66,ZBTB18,ZFP777,NKX6-2,PAX5,WTIP,PAX2,POU3F3,OVOL2,C1D"
"GOTERM_BP_DIRECT","negative regulation of gene expression","18","456","408","26481","7.74e-4","1.00e-1","2.56","8.51e-1","9.96e-2","2.87e-4","GO:0010629~negative regulation of gene expression","DICER1,CD3E,ACVR1B,SMAD5,OVOL2,YY1,TBK1,RXRA,MYCN,ZFP281,NOCT,MYCS,CRH,SRY,ADNP,ZBTB7B,FGFR4,MARK1"
"GOTERM_BP_DIRECT","heparan sulfate proteoglycan biosynthetic process","5","456","29","26481","1.45e-3","1.79e-1","10.01","9.72e-1","1.78e-1","1.25e-4","GO:0015012~heparan sulfate proteoglycan biosynthetic process","HS3ST3B1,EXT1,HS6ST1,HS3ST4,HS3ST1"
"GOTERM_BP_DIRECT","tissue development","7","456","73","26481","1.60e-3","1.85e-1","5.57","9.81e-1","1.84e-1","2.62e-4","GO:0009888~tissue development","NR5A1,LMO4,TCF7,HIVEP3,INSM1,PAX5,PAX2"
"GOTERM_BP_DIRECT","formin-nucleated actin cable assembly","3","456","4","26481","1.73e-3","1.85e-1","43.55","9.86e-1","1.84e-1","2.00e-5","GO:0070649~formin-nucleated actin cable assembly","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","establishment of meiotic spindle localization","3","456","4","26481","1.73e-3","1.85e-1","43.55","9.86e-1","1.84e-1","2.00e-5","GO:0051295~establishment of meiotic spindle localization","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","in utero embryonic development","16","456","366","26481","1.81e-3","1.86e-1","2.54","9.88e-1","1.85e-1","6.72e-4","GO:0001701~in utero embryonic development","ZBTB18,FOXD3,EXOC3L2,NXN,GATA6,CELF4,IHH,UBR3,YBX1,ACVR1B,BMI1,YBX3,RXRA,SH3PXD2A,GNA12,GSE1"
"GOTERM_BP_DIRECT","negative regulation of glial cell proliferation","4","456","16","26481","2.39e-3","2.26e-1","14.52","9.97e-1","2.25e-1","1.34e-4","GO:0060253~negative regulation of glial cell proliferation","ADCYAP1,NTM,IDH2,DICER1"
"GOTERM_BP_DIRECT","neural tube closure","8","456","106","26481","2.39e-3","2.26e-1","4.38","9.97e-1","2.25e-1","5.03e-4","GO:0001843~neural tube closure","SKI,TRIM71,RARG,LMO4,ZIC5,ARID1A,PRKACA,PAX2"
"GOTERM_BP_DIRECT","regulation of voltage-gated calcium channel activity","3","456","6","26481","4.22e-3","3.85e-1","29.04","1.00e+0","3.82e-1","9.76e-5","GO:1901385~regulation of voltage-gated calcium channel activity","HPCAL1,CACNA1A,CABP1"
"GOTERM_BP_DIRECT","bone morphogenesis","5","456","39","26481","4.40e-3","3.86e-1","7.45","1.00e+0","3.84e-1","5.26e-4","GO:0060349~bone morphogenesis","SKI,EXT1,COMP,RARG,ATG9B"
"GOTERM_BP_DIRECT","camera-type eye development","7","456","95","26481","5.98e-3","5.08e-1","4.28","1.00e+0","5.04e-1","1.29e-3","GO:0043010~camera-type eye development","SKI,RARG,RXRA,EFEMP1,IHH,MITF,PAX2"
"GOTERM_BP_DIRECT","intracellular transport","3","456","8","26481","7.70e-3","6.32e-1","21.78","1.00e+0","6.28e-1","2.66e-4","GO:0046907~intracellular transport","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","monoatomic ion transport","11","456","240","26481","8.96e-3","7.08e-1","2.66","1.00e+0","7.04e-1","3.14e-3","GO:0006811~monoatomic ion transport","SLC12A2,GABRB3,TRPM1,KCNG2,GABRR1,CHRNA7,HVCN1,CACNA1A,SCN5A,CNNM3,GRIA3"
"GOTERM_BP_DIRECT","cardiac muscle cell differentiation","5","456","48","26481","9.22e-3","7.08e-1","6.05","1.00e+0","7.04e-1","1.38e-3","GO:0055007~cardiac muscle cell differentiation","MESP1,RXRA,GATA6,ARID1A,ASB2"
"GOTERM_BP_DIRECT","entrainment of circadian clock by photoperiod","4","456","26","26481","9.77e-3","7.08e-1","8.93","1.00e+0","7.04e-1","9.61e-4","GO:0043153~entrainment of circadian clock by photoperiod","PER3,MTA1,PDE6B,NR2F6"
"GOTERM_BP_DIRECT","polar body extrusion after meiotic divisions","3","456","9","26481","9.79e-3","7.08e-1","19.36","1.00e+0","7.04e-1","3.94e-4","GO:0040038~polar body extrusion after meiotic divisions","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","positive regulation of double-strand break repair","5","456","50","26481","1.06e-2","7.36e-1","5.81","1.00e+0","7.32e-1","1.66e-3","GO:2000781~positive regulation of double-strand break repair","SPIRE2,SPIRE1,FMN2,ARID1A,ARID1B"
"GOTERM_BP_DIRECT","brain development","11","456","247","26481","1.08e-2","7.36e-1","2.59","1.00e+0","7.32e-1","3.89e-3","GO:0007420~brain development","GABRB3,B4GALT2,EXT1,ABR,PRKDC,NCOA6,DMXL2,UNC5C,SLC7A11,BMI1,POU3F3"
"GOTERM_BP_DIRECT","fibroblast growth factor receptor signaling pathway","5","456","51","26481","1.14e-2","7.42e-1","5.69","1.00e+0","7.37e-1","1.81e-3","GO:0008543~fibroblast growth factor receptor signaling pathway","TRIM71,EXT1,FLRT2,SOS1,FGFR4"
"GOTERM_BP_DIRECT","male gonad development","8","456","142","26481","1.16e-2","7.42e-1","3.27","1.00e+0","7.37e-1","3.28e-3","GO:0008584~male gonad development","NR5A1,NCOA1,WNT2B,GATA6,INHBB,SRY,YBX3,ACVR2A"
"GOTERM_BP_DIRECT","multicellular organism growth","9","456","177","26481","1.18e-2","7.42e-1","2.95","1.00e+0","7.37e-1","3.71e-3","GO:0035264~multicellular organism growth","SLC12A2,EXT1,COMP,RARG,ZFP950,IHH,GNAS,DICER1,SOS1"
"GOTERM_BP_DIRECT","negative regulation of inclusion body assembly","3","456","10","26481","1.21e-2","7.44e-1","17.42","1.00e+0","7.39e-1","5.56e-4","GO:0090084~negative regulation of inclusion body assembly","HSPA2,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","cell adhesion","19","456","582","26481","1.24e-2","7.44e-1","1.90","1.00e+0","7.39e-1","6.11e-3","GO:0007155~cell adhesion","MYBPC3,CADM1,NTM,KLRA2,PCDH20,PCDH11X,SDC3,ATP1B1,COMP,EXT1,MAEA,FLRT2,CNTNAP5A,PARD3,CNTNAP5C,RADIL,CDH26,SCARF2,MPDZ"
"GOTERM_BP_DIRECT","labyrinthine layer blood vessel development","4","456","29","26481","1.32e-2","7.74e-1","8.01","1.00e+0","7.70e-1","1.47e-3","GO:0060716~labyrinthine layer blood vessel development","NCOA6,PLCD3,HS6ST1,OVOL2"
"GOTERM_BP_DIRECT","regulation of myelination","4","456","30","26481","1.45e-2","8.30e-1","7.74","1.00e+0","8.25e-1","1.67e-3","GO:0031641~regulation of myelination","RARG,NKX6-2,RXRA,DICER1"
"GOTERM_BP_DIRECT","peptidyl-serine phosphorylation","6","456","84","26481","1.49e-2","8.35e-1","4.15","1.00e+0","8.30e-1","3.31e-3","GO:0018105~peptidyl-serine phosphorylation","TBK1,SBK1,PRKDC,TTK,PCK1,PRKACA"
"GOTERM_BP_DIRECT","spinal cord motor neuron differentiation","4","456","31","26481","1.59e-2","8.67e-1","7.49","1.00e+0","8.62e-1","1.89e-3","GO:0021522~spinal cord motor neuron differentiation","LMO4,CACNA1A,DICER1,LONRF2"
"GOTERM_BP_DIRECT","regulation of cell population proliferation","10","456","225","26481","1.63e-2","8.70e-1","2.58","1.00e+0","8.65e-1","5.93e-3","GO:0042127~regulation of cell population proliferation","CSF2,TRNP1,TCF7,PLA2G4A,MITF,INSM1,SLC7A11,PLCD3,SOS1,TCFL5"
"GOTERM_BP_DIRECT","cellular response to calcium ion","6","456","88","26481","1.79e-2","9.30e-1","3.96","1.00e+0","9.25e-1","4.17e-3","GO:0071277~cellular response to calcium ion","ALOX5AP,HPCAL1,NFATC3,NFATC1,INHBB,SCN5A"
"GOTERM_BP_DIRECT","neuron differentiation","10","456","232","26481","1.94e-2","9.30e-1","2.50","1.00e+0","9.25e-1","7.24e-3","GO:0030182~neuron differentiation","CEBPB,WNT2B,CNTNAP5A,MYT1L,XRN2,IRX4,CNTNAP5C,ADNP,INSM1,RUNX3"
"GOTERM_BP_DIRECT","retinal pigment epithelium development","3","456","13","26481","2.03e-2","9.30e-1","13.40","1.00e+0","9.25e-1","1.28e-3","GO:0003406~retinal pigment epithelium development","RARG,IHH,PAX2"
"GOTERM_BP_DIRECT","regulation of cell fate specification","3","456","13","26481","2.03e-2","9.30e-1","13.40","1.00e+0","9.25e-1","1.28e-3","GO:0042659~regulation of cell fate specification","MTA1,LMO4,CHD3"
"GOTERM_BP_DIRECT","cellular response to glucagon stimulus","3","456","13","26481","2.03e-2","9.30e-1","13.40","1.00e+0","9.25e-1","1.28e-3","GO:0071377~cellular response to glucagon stimulus","GNAS,PCK1,PRKACA"
"GOTERM_BP_DIRECT","actin nucleation","3","456","13","26481","2.03e-2","9.30e-1","13.40","1.00e+0","9.25e-1","1.28e-3","GO:0045010~actin nucleation","SPIRE2,SPIRE1,FMN2"
"GOTERM_BP_DIRECT","gamma-aminobutyric acid signaling pathway","4","456","34","26481","2.03e-2","9.30e-1","6.83","1.00e+0","9.25e-1","2.67e-3","GO:0007214~gamma-aminobutyric acid signaling pathway","SLC12A2,GABRB3,GABBR2,CACNA1A"
"GOTERM_BP_DIRECT","neuron development","6","456","91","26481","2.04e-2","9.30e-1","3.83","1.00e+0","9.25e-1","4.91e-3","GO:0048666~neuron development","ZBTB18,GABRB3,MYT1L,IHH,HS6ST1,NR2F6"
"GOTERM_BP_DIRECT","cellular response to interleukin-1","5","456","61","26481","2.08e-2","9.30e-1","4.76","1.00e+0","9.25e-1","3.99e-3","GO:0071347~cellular response to interleukin-1","YY1,CEBPB,INHBB,PCK1,BMI1"
"GOTERM_BP_DIRECT","negative regulation of neuron projection development","6","456","94","26481","2.31e-2","1.00e+0","3.71","1.00e+0","9.94e-1","5.75e-3","GO:0010977~negative regulation of neuron projection development","RAP1GAP2,MYLIP,EFEMP1,NTM,NR2F1,PTPRG"
"GOTERM_BP_DIRECT","NADP+ metabolic process","3","456","14","26481","2.34e-2","1.00e+0","12.44","1.00e+0","9.94e-1","1.60e-3","GO:0006739~NADP+ metabolic process","NOCT,IDH2,ME1"
"GOTERM_BP_DIRECT","myeloid cell differentiation","4","456","37","26481","2.54e-2","1.00e+0","6.28","1.00e+0","9.94e-1","3.66e-3","GO:0030099~myeloid cell differentiation","L3MBTL3,CSF2,NCOA6,TET2"
"GOTERM_BP_DIRECT","negative regulation of transforming growth factor beta receptor signaling pathway","6","456","100","26481","2.92e-2","1.00e+0","3.48","1.00e+0","9.94e-1","7.72e-3","GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway","SKI,SPRED2,STRAP,SPRY1,OVOL2,HSPA1A"
"GOTERM_BP_DIRECT","heart development","12","456","333","26481","3.00e-2","1.00e+0","2.09","1.00e+0","9.94e-1","1.34e-2","GO:0007507~heart development","CDKN1B,RXRA,PRKDC,NCOA6,CIROZ,GNA11,DNAH5,IRX4,NFATC3,NFATC1,ASB2,OVOL2"
"GOTERM_BP_DIRECT","actin filament network formation","3","456","16","26481","3.02e-2","1.00e+0","10.89","1.00e+0","9.94e-1","2.40e-3","GO:0051639~actin filament network formation","FHOD3,SPIRE2,SPIRE1"
"GOTERM_BP_DIRECT","nuclear export","3","456","16","26481","3.02e-2","1.00e+0","10.89","1.00e+0","9.94e-1","2.40e-3","GO:0051168~nuclear export","CDKN1B,NEMF,MALT1"
"GOTERM_BP_DIRECT","negative regulation of cell population proliferation","14","456","419","26481","3.02e-2","1.00e+0","1.94","1.00e+0","9.94e-1","1.45e-2","GO:0008285~negative regulation of cell population proliferation","ZFP777,RARG,CDKN1B,MAGI2,TWIST2,OVOL2,SKI,RXRA,SPRY1,INSM1,KIFAP3,E2F7,HSPA1B,HSPA1A"
"GOTERM_BP_DIRECT","chromatin remodeling","12","456","334","26481","3.10e-2","1.00e+0","2.09","1.00e+0","9.94e-1","1.36e-2","GO:0006338~chromatin remodeling","YY1,TADA2B,CREBBP,BRD1,MTA1,INO80D,KMT5B,CHD3,ARID1A,BMI1,PRKACA,ARID1B"
"GOTERM_BP_DIRECT","negative regulation of epithelial to mesenchymal transition","4","456","40","26481","3.11e-2","1.00e+0","5.81","1.00e+0","9.94e-1","4.86e-3","GO:0010719~negative regulation of epithelial to mesenchymal transition","SPRED2,SPRY1,OVOL2,MARK1"
"GOTERM_BP_DIRECT","memory","7","456","137","26481","3.13e-2","1.00e+0","2.97","1.00e+0","9.94e-1","9.73e-3","GO:0007613~memory","GABRB3,B4GALT2,CEBPB,CHRNA7,CRH,FOXO6,KCTD16"
"GOTERM_BP_DIRECT","positive regulation of T cell activation","4","456","41","26481","3.32e-2","1.00e+0","5.67","1.00e+0","9.94e-1","5.31e-3","GO:0050870~positive regulation of T cell activation","PRKCQ,CD3E,MALT1,YWHAG"
"GOTERM_BP_DIRECT","calcineurin-NFAT signaling cascade","3","456","17","26481","3.38e-2","1.00e+0","10.25","1.00e+0","9.94e-1","2.88e-3","GO:0033173~calcineurin-NFAT signaling cascade","TPRG1L,NFATC3,NFATC1"
"GOTERM_BP_DIRECT","polyadenylation-dependent ncRNA catabolic process","2","456","2","26481","3.41e-2","1.00e+0","58.07","1.00e+0","9.94e-1","2.96e-4","GO:0043634~polyadenylation-dependent ncRNA catabolic process","TENT4A,TENT4B"
"GOTERM_BP_DIRECT","face morphogenesis","4","456","42","26481","3.53e-2","1.00e+0","5.53","1.00e+0","9.94e-1","5.79e-3","GO:0060325~face morphogenesis","SKI,CREBBP,ZFP950,TWIST2"
"GOTERM_BP_DIRECT","negative regulation of intracellular signal transduction","3","456","18","26481","3.76e-2","1.00e+0","9.68","1.00e+0","9.94e-1","3.41e-3","GO:1902532~negative regulation of intracellular signal transduction","SPRED2,PHLPP1,CHRNA7"
